,name,Latitude,Longitude,Temp_Max,Humidity,Cloudiness,Wind Speed,Country,Date
282,Rio Grande,-32,-52.0986,75.2,94,75,13.8,BR,1611760336
283,Warren,39,-84.1666,32.0,86,90,8.05,US,1611760096
284,Manggar,-2,108.2667,78.28,84,100,6.85,ID,1611760390
285,Dalbandin,28,64.4101,52.0,30,0,6.11,PK,1611760390
286,Port Hedland,-20,118.5667,82.4,61,4,5.75,AU,1611760390
287,Pokhara,28,83.9833,52.74,44,0,3.36,NP,1611760390
288,Auki,-8,160.7034,79.66,84,99,8.1,SB,1611760390
289,Piaçabuçu,-10,-36.4344,84.47,62,97,11.92,BR,1611760391
290,Caceres,39,-6.3748,64.99,79,72,3.0,ES,1611760391
291,Tigil',57,158.6667,0.59,93,100,4.18,RU,1611760391
292,Ulaangom,49,92.0667,-11.97,88,100,0.2,MN,1611760337
293,Caucayá,0,-74.7819,81.9,67,97,4.12,CO,1611760391
294,Saint-François,46,3.9054,46.4,93,90,8.05,FR,1611760391
295,Sakaiminato,35,133.2333,48.2,61,75,11.5,JP,1611760392
296,Yangi Marg`ilon,40,71.7189,33.8,60,0,6.91,UZ,1611760392
297,Inhambane,-23,35.3833,87.8,70,20,9.22,MZ,1611760392
298,Curuguaty,-24,-55.6945,71.92,98,100,6.64,PY,1611760392
299,Adrar,20,-10.0711,85.66,12,0,17.09,MR,1611760392
300,Broken Hill,-31,141.4333,75.2,43,66,9.22,AU,1611760393
301,Antofagasta,-23,-70.4,73.99,68,20,13.8,CL,1611760096
302,Kindersley,51,-109.1682,-4.0,84,20,17.27,CA,1611760393
303,Leningradskiy,69,178.4167,-20.6,86,100,3.51,RU,1611760393
304,La Ronge,55,-105.2842,-13.0,77,100,5.75,CA,1611760393
305,Chërnaya Kholunitsa,58,51.7154,29.46,97,100,14.43,RU,1611760393
306,Comodoro Rivadavia,-45,-67.5,62.6,45,40,13.8,AR,1611760393
307,Chākia,26,85.05,54.16,44,0,5.48,IN,1611760394
308,Cockburn Town,21,-71.1419,75.69,76,1,18.43,TC,1611760124
309,Savannakhet,16,104.751,71.49,72,83,7.38,LA,1611760394
310,Oddur,4,43.8894,87.04,30,1,14.09,SO,1611760394
311,Saurimo,-9,20.3916,78.8,69,75,5.17,AO,1611760394
312,Baruun-Urt,46,113.2792,-15.12,82,53,10.25,MN,1611760396
313,Agüimes,27,-15.4461,73.0,78,0,13.8,ES,1611760396
314,Kansanshi,-12,26.4273,70.16,91,58,5.97,ZM,1611760397
315,Saldanha,-33,17.9442,77.0,41,0,25.32,ZA,1611760397
316,Okha,53,142.9478,8.26,95,100,12.44,RU,1611760397
317,Simbahan,6,120.5836,81.82,80,74,13.58,PH,1611760397
318,Riyadh,24,46.7219,73.4,18,0,11.5,SA,1611760398
319,Pevek,69,170.3133,-27.06,85,100,3.51,RU,1611760398
320,Kamaishi,39,141.8833,32.31,90,32,8.88,JP,1611760398
321,Toora-Khem,52,96.11,-3.8,89,100,1.5,RU,1611760398
322,Maragogi,-9,-35.2225,82.24,71,93,11.97,BR,1611760398
323,Chapais,49,-74.8492,17.6,93,90,6.91,CA,1611760398
324,Pangoa,-12,-73.0,71.06,96,100,1.59,PE,1611760399
325,Trstená,49,19.6125,27.0,74,75,14.97,SK,1611760399
326,Finnsnes,69,17.9811,23.0,58,75,10.36,NO,1611760399
327,Paithan,19,75.3833,75.2,53,0,7.72,IN,1611760399
328,Port Lincoln,-34,135.8667,63.73,78,0,14.92,AU,1611760399
329,Xingyi,24,102.817,49.5,61,0,3.36,CN,1611760400
330,Trois-Rivières,46,-72.5491,24.8,86,100,5.75,CA,1611760201
331,Weyburn,49,-103.8511,-7.6,71,77,17.27,CA,1611760400
332,Merauke,-8,140.3333,80.08,86,100,13.06,ID,1611760400
333,Spring Hill,28,-82.5255,71.01,88,75,8.05,US,1611760105
334,Lebu,-37,-73.65,59.34,68,97,7.76,CL,1611760400
335,Kachīry,53,76.1036,25.56,97,99,12.64,KZ,1611760401
336,Goderich,43,-81.7165,23.0,80,100,9.22,CA,1611760401
337,Lorengau,-2,147.2712,82.18,77,100,7.11,PG,1611760401
338,Beloha,-25,45.05,83.75,63,9,17.27,MG,1611760401
339,Nome,64,-165.4064,5.0,85,40,5.75,US,1611760401
340,Fukuechō,32,128.8419,52.18,77,0,18.23,JP,1611760401
341,Burnie,-41,145.9167,54.0,60,100,10.0,AU,1611760401
342,Oudtshoorn,-33,22.2014,66.2,63,75,5.75,ZA,1611760402
343,Mossamedes,-15,12.1522,86.0,48,75,20.71,AO,1611760402
344,Huarmey,-10,-78.1522,75.79,65,100,9.28,PE,1611760402
345,Etchoropo,26,-109.6667,52.16,56,57,13.65,MX,1611760402
346,Wasilla,61,-149.4394,1.4,85,1,0.96,US,1611760402
347,Chipinge,-20,32.6236,73.15,93,86,5.55,ZW,1611760403
348,Montepuez,-13,38.9997,78.64,87,81,2.95,MZ,1611760403
349,Lakes Entrance,-37,147.981,63.0,79,100,5.99,AU,1611760403
350,Mnogovershinnyy,53,139.9242,-2.88,94,100,5.91,RU,1611760403
351,Tongliao,43,122.2653,8.83,96,100,6.85,CN,1611760403
352,Samaná,19,-69.3369,77.83,64,8,9.8,DO,1611760404
353,Batagay,67,134.6333,-48.33,73,57,0.65,RU,1611760404
354,Ergolding,48,12.1667,32.0,86,90,9.22,DE,1611760404
355,Fenoarivo Atsinanana,-17,49.4167,81.95,74,0,5.21,MG,1611760404
356,Belaya Gora,68,146.4167,-24.63,87,100,6.24,RU,1611760404
357,Beni,0,29.4667,84.18,39,25,3.24,CD,1611760404
358,Sobolevo,54,31.8996,29.71,98,100,8.48,RU,1611760405
359,Kiryat Gat,31,34.7642,63.0,57,49,6.58,IL,1611760405
360,Katsuura,35,140.3,50.0,46,75,10.36,JP,1611760405
361,Ukiah,39,-123.2078,39.0,87,90,3.44,US,1611760405
362,Province of Trapani,37,12.6667,57.0,87,75,10.36,IT,1611760405
363,Alghero,40,8.3181,51.8,93,90,2.3,IT,1611760406
364,Reconquista,-29,-59.65,86.49,51,15,12.17,AR,1611760106
365,Andijan,40,72.3442,33.01,95,10,8.99,UZ,1611760406
366,Imbituba,-28,-48.6703,89.6,58,20,9.22,BR,1611760353
367,Angoche,-16,39.9086,83.07,71,2,9.04,MZ,1611760406
368,Manjacaze,-24,33.8828,89.28,58,91,5.23,MZ,1611760406
369,Shenjiamen,29,122.298,46.47,79,100,6.91,CN,1611760407
370,Boguchany,58,97.4531,-7.64,88,100,10.11,RU,1611760407
371,Tura,25,90.2201,59.16,64,0,2.89,IN,1611760407
372,Bosaso,11,49.1816,77.0,73,75,17.27,SO,1611760407
373,Boden,65,21.6886,21.2,86,90,8.05,SE,1611760407
374,Taoudenni,22,-3.9836,85.96,13,0,16.33,ML,1611760407
375,Pandan,14,124.1694,78.21,84,92,14.52,PH,1611760408
376,Mugumu,-1,34.7,74.75,46,11,1.28,TZ,1611760408
377,Porto Velho,-8,-63.9039,78.8,89,75,12.66,BR,1611760408
378,Carutapera,-1,-46.02,87.21,60,36,6.96,BR,1611760408
379,Zhangye,38,100.4517,19.29,79,0,6.89,CN,1611760408
380,Tucupita,9,-62.051,83.41,63,81,7.54,VE,1611760409
381,Grand-Santi,4,-54.3833,79.88,86,88,5.08,GF,1611760409
